unique_id,name,category,subcategory,progressionLevel,description,rel_prev,rel_next,xp_value,unlock_requirements,form_cues,primary_muscle_group,secondary_muscle_groups,difficulty
ROT001,Lying Windshield Wipers,core,rotation,1,"Lying on back with arms out, rotate bent knees from side to side",,ROT002,5,"","Keep shoulders flat on ground, control the motion",obliques,"rectus abdominis, transverse abdominis",beginner
ROT002,Standing Torso Rotation,core,rotation,2,"Standing with feet shoulder-width apart, rotate torso side to side",ROT001,ROT003,10,"15 reps x 3 sets of Lying Windshield Wipers","Rotate from the waist, keep hips facing forward",obliques,"core, shoulders",beginner
ROT003,Russian Twist (Feet Down),core,rotation,3,"Seated with feet on ground, hands together, rotate torso side to side",ROT002,ROT004,15,"20 reps x 3 sets of Standing Torso Rotation","Maintain straight back, controlled rotation",obliques,"rectus abdominis, hip flexors",beginner
ROT004,Russian Twist (Feet Up),core,rotation,4,"Russian twist with feet raised off ground",ROT003,ROT005,20,"15 reps x 3 sets of Russian Twist (Feet Down)","Balance on sit bones, keep chest up",obliques,"rectus abdominis, hip flexors, lower back",intermediate
ROT005,Bicycle Crunch,core,rotation,5,"Lying on back, alternately bring elbow to opposite knee while extending other leg",ROT004,ROT006,25,"12 reps x 3 sets of Russian Twist (Feet Up)","Touch elbow to knee, full extension on opposite side",obliques,"rectus abdominis, hip flexors",intermediate
ROT006,Seated Torso Rotation with Weight,core,rotation,6,"Russian twist holding weight or medicine ball",ROT005,ROT007,35,"15 reps x 3 sets of Bicycle Crunch","Control the weight, maintain posture throughout",obliques,"rectus abdominis, shoulders, arms",intermediate
ROT007,Windshield Wipers (Knees Bent),core,rotation,7,"Lying on back, rotate bent knees from side to side while arms are out",ROT006,ROT008,45,"12 reps x 3 sets with 5kg of Seated Torso Rotation with Weight","Touch knees to floor on each side, control motion",obliques,"rectus abdominis, hip flexors, transverse abdominis",advanced
ROT008,Standing Cable Rotation,core,rotation,8,"Using cable machine or resistance band, rotate torso against resistance",ROT007,ROT009,50,"10 reps x 3 sets of Windshield Wipers (Knees Bent)","Pivot from feet, engage core throughout motion",obliques,"core, shoulders, glutes",advanced
ROT009,Windshield Wipers (Legs Straight),core,rotation,9,"Lying on back with legs straight up, rotate legs side to side",ROT008,ROT010,60,"12 reps x 3 sets of Standing Cable Rotation","Keep shoulders planted, control through full range",obliques,"rectus abdominis, hip flexors, lower back",advanced
ROT010,Around the World,core,rotation,10,"Full 360° rotation of legs while maintaining hollow body position",ROT009,,75,"8 reps x 3 sets of Windshield Wipers (Legs Straight)","Maintain hollow body, smooth continuous motion",entire core,"obliques, hip flexors, lower back, shoulders",elite
